iter	RMSE
0	0.3955722197
1	0.3916563876
2	0.3877057395
3	0.3839299577
4	0.3802310261
5	0.3763323967
6	0.372809836
7	0.3694394072
8	0.3657555495
9	0.3622266633
10	0.3588272168
11	0.3555753936
12	0.3522798932
13	0.3488225476
14	0.3454614549
15	0.3422281795
16	0.3391121224
17	0.3359742126
18	0.3328805815
19	0.3298393021
20	0.3265364676
21	0.3234374222
22	0.3203521572
23	0.3173794658
24	0.3143310325
25	0.3116312268
26	0.3088135705
27	0.3061821564
28	0.303659284
29	0.301151163
30	0.2984096527
31	0.2955755463
32	0.2928874831
33	0.2904599534
34	0.2877598623
35	0.2853937976
36	0.2828535183
37	0.2806470437
38	0.2782651058
39	0.2759162982
40	0.2736402099
41	0.2715127378
42	0.2692005673
43	0.2669329295
44	0.2648505068
45	0.2626103461
46	0.2604599147
47	0.2583361545
48	0.2563215051
49	0.254432999
50	0.2524099092
51	0.2502439211
52	0.2482632897
53	0.2465249886
54	0.244770618
55	0.242949804
56	0.2411928283
57	0.2392666592
58	0.2375096753
59	0.2357063211
60	0.2339792652
61	0.2322832069
62	0.2305480022
63	0.2289406314
64	0.2272627784
65	0.2255846778
66	0.2239876818
67	0.2223523802
68	0.2207147449
69	0.2192482843
70	0.2178539417
71	0.2164128729
72	0.2149962896
73	0.2134980068
74	0.2122016432
75	0.2107603461
76	0.2093147005
77	0.2078105086
78	0.2064121785
79	0.205094996
80	0.2038449623
81	0.202592522
82	0.2012963298
83	0.2000337281
84	0.1988688267
85	0.1976543482
86	0.196381814
87	0.1951935165
88	0.1941275896
89	0.1929719585
90	0.191784343
91	0.1906072251
92	0.1894951725
93	0.1883930115
94	0.1872449113
95	0.1862246695
96	0.1850965853
97	0.1839735011
98	0.1829539495
99	0.181920082
100	0.180923941
101	0.1798814946
102	0.1788487321
103	0.1778816464
104	0.1770385393
105	0.1760147997
106	0.1751596563
107	0.1741782685
108	0.1733402111
109	0.1724819378
110	0.1715690214
111	0.1707953278
112	0.1699171183
113	0.1691225555
114	0.1682345755
115	0.1674243453
116	0.1665620084
117	0.1657847165
118	0.1650883874
119	0.1642896586
120	0.1635410161
121	0.1628109094
122	0.1621695957
123	0.1613935641
124	0.1606318076
125	0.159870676
126	0.1591685267
127	0.1584649881
128	0.1577923322
129	0.1571427311
130	0.1565349226
131	0.1559153552
132	0.1551796804
133	0.154587469
134	0.1540028163
135	0.1534162241
136	0.1528532406
137	0.1522668814
138	0.1515829262
139	0.1510230064
140	0.1504367291
141	0.149835272
142	0.1492734734
143	0.148755907
144	0.1482747399
145	0.1477027835
146	0.1471307268
147	0.1465933572
148	0.1461008115
149	0.1456240711
150	0.1451154657
151	0.1445845866
152	0.1441088634
153	0.1436118816
154	0.1431295158
155	0.1426351557
156	0.1420996986
157	0.1416311856
158	0.1412485842
159	0.1408498311
160	0.1403820989
161	0.1400152291
162	0.1395343548
163	0.1390691637
164	0.138616911
165	0.1381862627
166	0.1378211589
167	0.1374257175
168	0.1369989888
169	0.1365877999
170	0.136211035
171	0.1357771568
172	0.1353808789
173	0.1349782165
174	0.1346054901
175	0.1342675666
176	0.1338825511
177	0.1335283205
178	0.1332223976
179	0.1328617162
180	0.1325149556
181	0.1321603587
182	0.1318360083
183	0.1314979418
184	0.1311651385
185	0.1308847006
186	0.1305963199
187	0.1302659707
188	0.1299491192
189	0.1296443183
190	0.1293101343
191	0.1290658323
192	0.128762185
193	0.128477905
194	0.1281542002
195	0.1278274051
196	0.1275154677
197	0.1271903771
198	0.1269123668
199	0.1266615213
200	0.126389808
201	0.1261536017
202	0.125901806
203	0.1256742483
204	0.1254295994
205	0.1251148662
206	0.1249030106
207	0.1246358487
208	0.1244047057
209	0.1241626389
210	0.1239186139
211	0.123677192
212	0.1233997396
213	0.1231647832
214	0.1229245364
215	0.1226812315
216	0.1224326387
217	0.1222093896
218	0.1219735885
219	0.1217432302
220	0.1215100441
