iter	Passed	Remaining
0	51	205014
1	58	116339
2	71	95236
3	79	79016
4	86	68838
5	93	62145
6	100	57326
7	107	53604
8	114	50616
9	119	47665
10	124	45290
11	130	43234
12	137	42089
13	143	40987
14	152	40466
15	158	39465
16	163	38377
17	168	37368
18	174	36497
19	179	35681
20	184	34983
21	189	34322
22	194	33710
23	199	33131
24	204	32590
25	210	32123
26	215	31686
27	220	31262
28	225	30853
29	230	30498
30	235	30150
31	240	29840
32	245	29549
33	250	29264
34	255	28987
35	260	28727
36	265	28487
37	270	28254
38	275	28031
39	281	27826
40	286	27625
41	291	27445
42	296	27271
43	301	27109
44	308	27098
45	314	27069
46	321	27062
47	329	27145
48	336	27162
49	345	27332
50	351	27227
51	356	27088
52	361	26948
53	366	26806
54	371	26669
55	376	26545
56	381	26423
57	387	26306
58	392	26195
59	397	26079
60	402	25986
61	407	25877
62	412	25779
63	417	25680
64	422	25589
65	427	25500
66	433	25419
67	438	25333
68	443	25245
69	448	25174
70	453	25095
71	458	25014
72	463	24933
73	468	24861
74	473	24797
75	478	24728
76	485	24738
77	492	24741
78	499	24777
79	506	24830
80	512	24781
81	517	24738
82	522	24679
83	529	24695
84	536	24695
85	543	24715
86	549	24724
87	554	24662
88	559	24603
89	565	24548
90	570	24494
91	575	24438
92	581	24434
93	588	24439
94	593	24397
95	598	24346
96	603	24298
97	609	24249
98	613	24193
99	619	24141
100	624	24092
101	629	24044
102	634	23996
103	639	23948
104	644	23899
105	649	23856
106	656	23877
107	663	23916
108	670	23928
109	679	24029
110	686	24041
111	691	24004
112	696	23969
113	704	23998
114	711	24052
115	717	24017
116	722	23976
117	727	23930
118	732	23899
119	738	23883
120	743	23846
121	749	23815
122	755	23798
123	760	23762
124	765	23726
125	770	23685
126	775	23648
127	780	23614
128	785	23575
129	790	23534
130	795	23497
131	800	23464
132	805	23428
133	810	23395
134	815	23358
135	820	23323
136	826	23293
137	832	23299
138	839	23317
139	844	23292
140	849	23259
141	855	23235
142	860	23202
143	865	23167
144	870	23139
145	875	23107
146	880	23079
147	885	23052
148	890	23023
149	895	22993
150	901	22970
151	906	22939
152	911	22907
153	916	22877
154	921	22848
155	926	22840
156	932	22832
157	937	22806
158	942	22776
159	948	22752
160	953	22726
161	958	22699
162	963	22674
163	968	22648
164	974	22653
165	981	22663
166	987	22675
167	995	22696
