listing_id,high,medium,low
7142618,0.03,0.52,0.45
7210040,0.24,0.19,0.57
7174566,0.11,0.77,0.12
7191391,0.33,0.1,0.57
7171695,0.0,0.92,0.08
7225206,0.01,0.8,0.19
7200075,0.03,0.97,0.0
7145074,0.14,0.4,0.46
7193645,0.04,0.67,0.29
7147703,0.01,0.9,0.09
7182218,0.34,0.51,0.15
7132136,0.0,0.98,0.02
7130670,0.04,0.8,0.16
7151855,0.07,0.76,0.17
7158358,0.0,0.86,0.14
7221001,0.01,0.81,0.18
7100305,0.44,0.21,0.35
7096581,0.11,0.2,0.69
7177904,0.03,0.56,0.41
7122823,0.01,0.25,0.74
7183502,0.01,0.86,0.13
7170627,0.03,0.71,0.26
7154826,0.22,0.44,0.34
7155276,0.0,0.78,0.22
7126641,0.33,0.46,0.21
7096119,0.19,0.51,0.3
7197172,0.0,0.99,0.01
7189973,0.03,0.75,0.22
7123008,0.17,0.78,0.05
7146900,0.04,0.5,0.46
7109717,0.06,0.26,0.68
7129938,0.06,0.83,0.11
7107178,0.0,1.0,0.0
7176321,0.08,0.63,0.29
7128745,0.02,0.73,0.25
7142399,0.04,0.21,0.75
7173397,0.03,0.89,0.08
7097445,0.74,0.12,0.14
7176649,0.08,0.85,0.07
7217973,0.0,0.81,0.19
7181413,0.01,0.86,0.13
7131045,0.02,0.84,0.14
7227600,0.12,0.61,0.27
7152410,0.02,0.47,0.51
7164630,0.02,0.94,0.04
7233385,0.05,0.67,0.28
7132168,0.17,0.27,0.56
7177475,0.0,0.99,0.01
7195866,0.0,0.96,0.04
7128348,0.02,0.94,0.04
7127663,0.03,0.82,0.15
7224803,0.02,0.91,0.07
7175018,0.05,0.54,0.41
7172595,0.16,0.62,0.22
7109912,0.07,0.76,0.17
7138297,0.16,0.42,0.42
7092476,0.04,0.88,0.08
7089303,0.01,0.94,0.05
7125155,0.07,0.43,0.5
7220062,0.04,0.81,0.15
7106449,0.09,0.45,0.46
7128225,0.04,0.49,0.47
7195250,0.0,0.99,0.01
7218672,0.01,0.29,0.7
7196783,0.1,0.41,0.49
7103890,0.04,0.6,0.36
7091781,0.08,0.38,0.54
7188560,0.0,0.95,0.05
7158435,0.26,0.24,0.5
7174040,0.0,0.99,0.01
7090560,0.13,0.52,0.35
7176342,0.01,0.61,0.38
7192962,0.01,0.98,0.01
7097397,0.01,0.83,0.16
7145866,0.09,0.69,0.22
7206754,0.01,0.94,0.05
7138175,0.05,0.57,0.38
7149594,0.0,0.99,0.01
7156633,0.0,0.62,0.38
7105345,0.01,0.39,0.6
7213632,0.16,0.2,0.64
7183113,0.01,0.98,0.01
7140000,0.51,0.14,0.35
7195613,0.03,0.83,0.14
7105115,0.08,0.38,0.54
7160348,0.0,0.98,0.02
7160614,0.0,0.94,0.06
7092337,0.01,0.89,0.1
7147336,0.1,0.86,0.04
7218407,0.0,0.75,0.25
7153777,0.91,0.07,0.02
7105692,0.1,0.17,0.73
7182783,0.0,0.85,0.15
7175581,0.0,0.99,0.01
7178664,0.27,0.52,0.21
