Id,Weekly_Sales
1_1_2012-11-02,29936.433097858953
1_1_2012-11-09,20703.762200870322
1_1_2012-11-16,19207.995744264066
1_1_2012-11-23,20141.637859945535
1_1_2012-11-30,23384.9693934321
1_1_2012-12-07,31636.283842075318
1_1_2012-12-14,42405.42688566164
1_1_2012-12-21,46172.20956394852
1_1_2012-12-28,24181.274648591214
1_1_2013-01-04,16629.702818348775
1_1_2013-01-11,17022.515962484485
1_1_2013-01-18,18110.592440761455
1_1_2013-01-25,18376.992617821194
1_1_2013-02-01,22672.461282094977
1_1_2013-02-08,34631.89738318125
1_1_2013-02-15,50409.323471886164
1_1_2013-02-22,32819.086124074114
1_1_2013-03-01,20342.497459625556
1_1_2013-03-08,21249.837447685026
1_1_2013-03-15,21712.352823102152
1_1_2013-03-22,31051.23629127885
1_1_2013-03-29,28484.674009654416
1_1_2013-04-05,53054.96584042958
1_1_2013-04-12,33308.07789435156
1_1_2013-04-19,16328.662166784667
1_1_2013-04-26,16110.549992909411
1_1_2013-05-03,17796.734133681017
1_1_2013-05-10,17945.10100887058
1_1_2013-05-17,17984.88656920759
1_1_2013-05-24,16839.27402191248
1_1_2013-05-31,16582.76077000829
1_1_2013-06-07,17471.18830751563
1_1_2013-06-14,17256.181642785792
1_1_2013-06-21,16538.15169356623
1_1_2013-06-28,16030.758134427157
1_1_2013-07-05,17300.367361514425
1_1_2013-07-12,16751.64999664278
1_1_2013-07-19,16281.305205315748
1_1_2013-07-26,16025.23662869235
1_2_2012-11-02,47169.44838586041
1_2_2012-11-09,46630.94510792202
1_2_2012-11-16,43286.457323400224
1_2_2012-11-23,44236.92317573116
1_2_2012-11-30,44886.73226840057
1_2_2012-12-07,48091.56693553092
1_2_2012-12-14,51156.32666192962
1_2_2012-12-21,61208.97619539428
1_2_2012-12-28,45518.2185715975
1_2_2013-01-04,45937.223483368936
1_2_2013-01-11,44089.45588866199
1_2_2013-01-18,43001.192380904264
1_2_2013-01-25,41936.895998077554
1_2_2013-02-01,51479.88911109145
1_2_2013-02-08,50506.57984409791
1_2_2013-02-15,46842.62063309541
1_2_2013-02-22,46630.64779259396
1_2_2013-03-01,51157.41572538854
1_2_2013-03-08,49573.408091592144
1_2_2013-03-15,46418.4921891152
1_2_2013-03-22,45415.97657396081
1_2_2013-03-29,46262.72917922585
1_2_2013-04-05,51031.237158502714
1_2_2013-04-12,44614.52228463976
1_2_2013-04-19,44950.15565730324
1_2_2013-04-26,45396.570085620995
1_2_2013-05-03,50025.09134649467
1_2_2013-05-10,47503.52607777162
1_2_2013-05-17,45229.47774525172
1_2_2013-05-24,45576.07352881844
1_2_2013-05-31,46865.9644763477
1_2_2013-06-07,49019.85205632084
1_2_2013-06-14,45071.38591691247
1_2_2013-06-21,45762.66261321484
1_2_2013-06-28,45961.62183627166
1_2_2013-07-05,49255.55926993036
1_2_2013-07-12,44755.847031956706
1_2_2013-07-19,44965.929885841506
1_2_2013-07-26,45251.59716097224
1_3_2012-11-02,9896.459759782058
1_3_2012-11-09,9995.58311658842
1_3_2012-11-16,9897.237074435416
1_3_2012-11-23,9930.232610164243
1_3_2012-11-30,10027.115568647343
1_3_2012-12-07,12196.452518708964
1_3_2012-12-14,12731.171194118628
1_3_2012-12-21,12951.085056645956
1_3_2012-12-28,10117.89423381196
1_3_2013-01-04,14036.362849970303
1_3_2013-01-11,13776.785384958492
1_3_2013-01-18,12110.146970786202
1_3_2013-01-25,11225.927017269138
1_3_2013-02-01,12008.453911402405
1_3_2013-02-08,12021.600234037085
1_3_2013-02-15,10594.78298766108
1_3_2013-02-22,10494.341013494946
1_3_2013-03-01,11304.633246140254
1_3_2013-03-08,11323.153239421912
1_3_2013-03-15,8554.316179047193
1_3_2013-03-22,8277.935667249181
1_3_2013-03-29,8896.447079334228
1_3_2013-04-05,10009.0004591781
1_3_2013-04-12,9411.166762718443
1_3_2013-04-19,8563.662925476492
1_3_2013-04-26,8713.64370295664
1_3_2013-05-03,10384.191144160732
1_3_2013-05-10,9779.29262104746
1_3_2013-05-17,8389.951159807259
1_3_2013-05-24,8071.75080306838
1_3_2013-05-31,8198.413394778925
1_3_2013-06-07,8286.320814196752
1_3_2013-06-14,8060.852791863072
1_3_2013-06-21,7457.399249508928
1_3_2013-06-28,7262.000536601818
1_3_2013-07-05,8145.392844824268
1_3_2013-07-12,12733.781529596412
1_3_2013-07-19,18225.421103852783
1_3_2013-07-26,21136.44600068827
1_4_2012-11-02,39833.87234692673
1_4_2012-11-09,38914.25797817007
1_4_2012-11-16,36405.525094925244
1_4_2012-11-23,45491.135121207255
1_4_2012-11-30,41321.70225312724
1_4_2012-12-07,38762.898801298885
1_4_2012-12-14,38612.49850885689
1_4_2012-12-21,42521.30362343923
1_4_2012-12-28,42152.54291738866
1_4_2013-01-04,40329.62130171501
1_4_2013-01-11,36052.45590676405
1_4_2013-01-18,34693.38889624139
1_4_2013-01-25,34156.45478224814
1_4_2013-02-01,39729.37604600248
1_4_2013-02-08,39753.96124073727
1_4_2013-02-15,36419.188248205246
1_4_2013-02-22,35605.02701011375
1_4_2013-03-01,39233.143947843506
1_4_2013-03-08,39636.68664308492
1_4_2013-03-15,37641.63842458675
1_4_2013-03-22,36696.4216055766
1_4_2013-03-29,37969.77581350957
1_4_2013-04-05,41041.5299093222
1_4_2013-04-12,37143.05928149608
1_4_2013-04-19,36257.30154618113
1_4_2013-04-26,36660.55826161913
1_4_2013-05-03,41708.44260092886
1_4_2013-05-10,39894.92759920374
1_4_2013-05-17,36076.04671700606
1_4_2013-05-24,37647.201826107055
1_4_2013-05-31,38545.255193013676
1_4_2013-06-07,41494.14795158436
1_4_2013-06-14,38123.967129011646
1_4_2013-06-21,37709.461082053735
1_4_2013-06-28,37367.328329259
1_4_2013-07-05,42380.66717360727
1_4_2013-07-12,37765.45720850853
1_4_2013-07-19,37299.85025335444
1_4_2013-07-26,36656.04880293805
1_5_2012-11-02,26838.891435875827
1_5_2012-11-09,26173.5722736345
1_5_2012-11-16,24765.61611930896
1_5_2012-11-23,65409.88125020212
1_5_2012-11-30,47405.32399501662
1_5_2012-12-07,39126.95464087138
1_5_2012-12-14,44433.9294982436
1_5_2012-12-21,58928.60541213981
1_5_2012-12-28,50804.925874449495
1_5_2013-01-04,22513.532463432322
1_5_2013-01-11,19515.622440153606
1_5_2013-01-18,19551.66106162004
1_5_2013-01-25,21358.24279978298
1_5_2013-02-01,30425.289402384395
1_5_2013-02-08,36433.130212205375
1_5_2013-02-15,39668.258809313826
1_5_2013-02-22,28777.88202317789
1_5_2013-03-01,28303.03968425308
1_5_2013-03-08,26338.09516312207
1_5_2013-03-15,27514.264247719675
1_5_2013-03-22,25510.384725144424
1_5_2013-03-29,24726.562172207156
1_5_2013-04-05,25660.606111778685
1_5_2013-04-12,18727.739710887592
1_5_2013-04-19,17957.39366370141
1_5_2013-04-26,17641.266849404445
1_5_2013-05-03,17980.931380111466
1_5_2013-05-10,17647.066568228325
1_5_2013-05-17,17371.267005034715
1_5_2013-05-24,19884.55525918467
1_5_2013-05-31,19178.900598505283
1_5_2013-06-07,21409.66832016756
1_5_2013-06-14,20411.946789047386
1_5_2013-06-21,20596.671016806966
1_5_2013-06-28,18804.530533311165
1_5_2013-07-05,19699.130038229574
1_5_2013-07-12,19111.216095873013
1_5_2013-07-19,18116.685278534813
1_5_2013-07-26,16111.748877865259
1_6_2012-11-02,4288.289999615633
1_6_2012-11-09,3584.1411627645684
1_6_2012-11-16,3265.872847343522
1_6_2012-11-23,16175.9306016698
1_6_2012-11-30,9773.19008566434
1_6_2012-12-07,6512.329312808484
1_6_2012-12-14,8572.333579353004
1_6_2012-12-21,16336.348079500633
1_6_2012-12-28,13092.892792212835
1_6_2013-01-04,2795.910727256106
1_6_2013-01-11,2322.329089191846
1_6_2013-01-18,2300.2534414362544
1_6_2013-01-25,2046.0481359765568
1_6_2013-02-01,4138.394002415449
1_6_2013-02-08,5810.509312672625
1_6_2013-02-15,4097.181544821116
1_6_2013-02-22,3578.710666833047
1_6_2013-03-01,4722.933732354568
1_6_2013-03-08,4232.3402165419375
1_6_2013-03-15,3910.746389945096
1_6_2013-03-22,3280.9624884048335
1_6_2013-03-29,4200.830150498689
1_6_2013-04-05,4452.912632091241
1_6_2013-04-12,4097.955491337299
1_6_2013-04-19,3438.1918442670603
1_6_2013-04-26,3674.260851560317
1_6_2013-05-03,4736.362000815607
1_6_2013-05-10,3898.1089000068114
1_6_2013-05-17,4925.828860537131
1_6_2013-05-24,4786.2569870008065
1_6_2013-05-31,5008.654344329336
1_6_2013-06-07,4379.7421481635
1_6_2013-06-14,4060.1989135380627
1_6_2013-06-21,4335.527093765561
1_6_2013-06-28,4538.020973456761
1_6_2013-07-05,3104.465174476557
1_6_2013-07-12,2729.7689545283642
1_6_2013-07-19,3291.1011318257215
1_6_2013-07-26,2784.435031304132
1_7_2012-11-02,22359.780011743373
1_7_2012-11-09,23409.259208907322
1_7_2012-11-16,22215.8329582998
1_7_2012-11-23,70713.98954317099
1_7_2012-11-30,46973.28137769268
1_7_2012-12-07,45607.61292014192
1_7_2012-12-14,69355.6333118958
1_7_2012-12-21,123263.85230054383
1_7_2012-12-28,83986.11387738779
1_7_2013-01-04,13516.52646203241
1_7_2013-01-11,9838.012222690477
1_7_2013-01-18,10351.08907450345
1_7_2013-01-25,11551.642190140738
1_7_2013-02-01,15902.453434467137
1_7_2013-02-08,19144.534033042277
1_7_2013-02-15,18262.543133906278
1_7_2013-02-22,17635.241833680626
1_7_2013-03-01,17391.42586563637
1_7_2013-03-08,18338.912093821767
1_7_2013-03-15,19810.841985608495
1_7_2013-03-22,18072.19553849584
1_7_2013-03-29,18839.078462714588
1_7_2013-04-05,24515.014603594856
1_7_2013-04-12,21999.68975454472
1_7_2013-04-19,19772.78767595085
1_7_2013-04-26,19541.09526239318
1_7_2013-05-03,21983.646853740687
1_7_2013-05-10,21891.55069296643
1_7_2013-05-17,19985.978243013386
1_7_2013-05-24,27608.358543936203
1_7_2013-05-31,30452.124591433352
1_7_2013-06-07,32224.194849444364
1_7_2013-06-14,26770.19146751455
1_7_2013-06-21,25121.67871651445
1_7_2013-06-28,24327.602354210543
1_7_2013-07-05,25306.66557125806
1_7_2013-07-12,18344.626905313547
1_7_2013-07-19,16825.72552156476
1_7_2013-07-26,16708.289462998826
1_8_2012-11-02,40997.19777758742
1_8_2012-11-09,38925.669529610765
1_8_2012-11-16,38136.24423992926
1_8_2012-11-23,36605.011678827446
1_8_2012-11-30,37042.258964237684
1_8_2012-12-07,38754.95875291201
1_8_2012-12-14,37749.80484852873
1_8_2012-12-21,39382.11916800621
1_8_2012-12-28,35541.938107710375
1_8_2013-01-04,38704.43248422684
1_8_2013-01-11,34944.26545335798
1_8_2013-01-18,35405.431813839044
1_8_2013-01-25,35240.40511031667
1_8_2013-02-01,39795.569765691616
1_8_2013-02-08,38640.60726476875
1_8_2013-02-15,37054.37519059106
1_8_2013-02-22,36827.630310751774
1_8_2013-03-01,40652.758005914904
1_8_2013-03-08,38806.6912260882
1_8_2013-03-15,36534.2685830308
1_8_2013-03-22,35421.81885614565
1_8_2013-03-29,37262.92568125663
1_8_2013-04-05,41687.13995810249
1_8_2013-04-12,37227.61155964176
1_8_2013-04-19,37244.52017686247
1_8_2013-04-26,38425.083674694746
1_8_2013-05-03,40680.93537130525
1_8_2013-05-10,37685.70540109157
1_8_2013-05-17,37585.47258997308
1_8_2013-05-24,36916.11641316087
1_8_2013-05-31,38106.02086968665
1_8_2013-06-07,40300.769544125214
1_8_2013-06-14,37633.795958484625
1_8_2013-06-21,37549.22188799349
1_8_2013-06-28,37758.845476266746
1_8_2013-07-05,41399.77748334535
1_8_2013-07-12,36873.54400806371
1_8_2013-07-19,37353.738916214425
1_8_2013-07-26,37760.52878405107
1_9_2012-11-02,43852.73159932061
1_9_2012-11-09,37291.142337493315
1_9_2012-11-16,33251.074686258595
1_9_2012-11-23,37073.34888367499
1_9_2012-11-30,35217.36487465934
1_9_2012-12-07,29802.899044166577
1_9_2012-12-14,30877.80413348334
1_9_2012-12-21,36919.935301679354
1_9_2012-12-28,32387.933087294652
1_9_2013-01-04,19110.029415345212
1_9_2013-01-11,15990.937041683479
1_9_2013-01-18,13728.805823464565
1_9_2013-01-25,14561.661935276878
1_9_2013-02-01,19541.132155489388
1_9_2013-02-08,19845.37887784872
1_9_2013-02-15,23536.589905989298
1_9_2013-02-22,25764.05113316692
1_9_2013-03-01,31636.044574168096
1_9_2013-03-08,29979.205035580988
1_9_2013-03-15,34180.19734162834
1_9_2013-03-22,32686.759476560932
1_9_2013-03-29,37005.75962471428
1_9_2013-04-05,36953.5164437398
1_9_2013-04-12,31905.392614937125
1_9_2013-04-19,28085.98326153878
1_9_2013-04-26,29854.13568175012
1_9_2013-05-03,32167.68581349231
1_9_2013-05-10,28678.088079926503
1_9_2013-05-17,28583.903862719842
1_9_2013-05-24,29052.21905636468
1_9_2013-05-31,37055.715481267594
1_9_2013-06-07,31771.053898459242
1_9_2013-06-14,29795.793971366253
1_9_2013-06-21,28101.77617282156
1_9_2013-06-28,27732.982477176804
1_9_2013-07-05,29809.66953536631
1_9_2013-07-12,22065.326552465205
1_9_2013-07-19,22571.61201807987
1_9_2013-07-26,23444.167632930305
1_10_2012-11-02,29847.204263127955
1_10_2012-11-09,29796.8189359602
1_10_2012-11-16,29073.220370882467
1_10_2012-11-23,29699.53335671093
1_10_2012-11-30,28401.170495571263
1_10_2012-12-07,29372.2067787034
1_10_2012-12-14,29579.42444011359
1_10_2012-12-21,29798.203430479454
1_10_2012-12-28,28005.237438407636
1_10_2013-01-04,28193.56511927716
1_10_2013-01-11,24289.659998687075
1_10_2013-01-18,24733.708868686932
1_10_2013-01-25,24424.61489640652
1_10_2013-02-01,34054.128234565345
1_10_2013-02-08,36343.21434282874
1_10_2013-02-15,37337.050306836805
1_10_2013-02-22,36397.38205428412
1_10_2013-03-01,37637.04916641907
1_10_2013-03-08,35283.166741669454
1_10_2013-03-15,33563.30203588253
1_10_2013-03-22,34923.75089275618
1_10_2013-03-29,38989.621025431996
1_10_2013-04-05,36299.02896758544
1_10_2013-04-12,30826.561741409205
1_10_2013-04-19,30973.148513028194
1_10_2013-04-26,30875.79036465573
1_10_2013-05-03,35812.5011239534
1_10_2013-05-10,33331.18516226129
1_10_2013-05-17,30586.818902404222
1_10_2013-05-24,32381.860403229206
1_10_2013-05-31,33371.27232178942
1_10_2013-06-07,35806.155397874216
1_10_2013-06-14,32095.979061457947
1_10_2013-06-21,31724.38998031812
1_10_2013-06-28,32410.55607679693
1_10_2013-07-05,36980.70415115091
1_10_2013-07-12,31310.09211094805
1_10_2013-07-19,29583.239542620813
1_10_2013-07-26,30919.995254648362
1_11_2012-11-02,26484.631703927676
1_11_2012-11-09,22487.3415734589
1_11_2012-11-16,21584.30384977175
1_11_2012-11-23,28560.61902636221
1_11_2012-11-30,26012.643738907605
1_11_2012-12-07,35500.73152106296
1_11_2012-12-14,29279.72629933511
1_11_2012-12-21,31480.902392443197
1_11_2012-12-28,28808.45165409677
1_11_2013-01-04,24566.057027983647
1_11_2013-01-11,24351.722567427947
1_11_2013-01-18,21821.461424772544
1_11_2013-01-25,19697.105418879888
1_11_2013-02-01,22773.926505917054
1_11_2013-02-08,23534.07506163711
1_11_2013-02-15,24337.1638401597
1_11_2013-02-22,21615.729573118013
1_11_2013-03-01,22892.525735415154
1_11_2013-03-08,23062.01953367237
1_11_2013-03-15,24408.02149050931
1_11_2013-03-22,24274.57205814145
1_11_2013-03-29,24285.28090649763
1_11_2013-04-05,26295.011489839297
1_11_2013-04-12,23301.18405292411
1_11_2013-04-19,22357.649768857806
1_11_2013-04-26,21390.720143849685
1_11_2013-05-03,28945.099935652837
1_11_2013-05-10,27575.93435612848
1_11_2013-05-17,24574.21932207946
1_11_2013-05-24,26593.985881261164
1_11_2013-05-31,32461.182698432676
1_11_2013-06-07,33691.818816947394
1_11_2013-06-14,29257.09346598756
1_11_2013-06-21,27797.755827147637
1_11_2013-06-28,35660.64771672972
1_11_2013-07-05,33361.96279729085
1_11_2013-07-12,26692.094611332654
1_11_2013-07-19,27446.311313705195
1_11_2013-07-26,31495.182033035955
1_12_2012-11-02,9726.320856681077
1_12_2012-11-09,10068.820713562174
1_12_2012-11-16,9387.207784412985
1_12_2012-11-23,8439.465680671654
1_12_2012-11-30,8359.019752917638
1_12_2012-12-07,7847.891011308029
1_12_2012-12-14,7855.905804906792
1_12_2012-12-21,8043.014209599547
1_12_2012-12-28,7920.908727514561
1_12_2013-01-04,7999.71970067467
1_12_2013-01-11,7938.405976607162
1_12_2013-01-18,8370.706317705643
1_12_2013-01-25,8224.141880334228
1_12_2013-02-01,9254.386158380696
1_12_2013-02-08,9067.05200951671
1_12_2013-02-15,9771.25664406644
1_12_2013-02-22,10680.617882210836
1_12_2013-03-01,11888.300159485707
1_12_2013-03-08,11722.274722769913
1_12_2013-03-15,12377.044519726138
1_12_2013-03-22,11685.0725260073
1_12_2013-03-29,11641.17841069558
1_12_2013-04-05,11207.809095792603
1_12_2013-04-12,11120.463713983332
1_12_2013-04-19,11492.289522245994
1_12_2013-04-26,11690.81198254352
1_12_2013-05-03,12086.928614841596
1_12_2013-05-10,11349.444353904097
1_12_2013-05-17,10848.402109620169
1_12_2013-05-24,11868.445709227008
1_12_2013-05-31,11378.589218225565
1_12_2013-06-07,11784.705780994384
1_12_2013-06-14,10715.366180493224
1_12_2013-06-21,10525.246015684537
1_12_2013-06-28,11035.74064226546
1_12_2013-07-05,11882.379417373097
1_12_2013-07-12,10234.521214078739
1_12_2013-07-19,11605.940419633373
1_12_2013-07-26,11117.314397048707
1_13_2012-11-02,43513.02899066276
1_13_2012-11-09,40455.86075650095
1_13_2012-11-16,38476.72008869974
1_13_2012-11-23,38651.78674585547
1_13_2012-11-30,38760.49421935925
1_13_2012-12-07,41386.80716472856
1_13_2012-12-14,35561.14095084082
1_13_2012-12-21,36493.53404722278
1_13_2012-12-28,35659.5159915904
1_13_2013-01-04,42435.23567354435
1_13_2013-01-11,37871.01386267846
1_13_2013-01-18,37357.61041773859
1_13_2013-01-25,35951.22004788538
1_13_2013-02-01,41864.102048941306
1_13_2013-02-08,41890.74415832621
1_13_2013-02-15,38730.733524131516
1_13_2013-02-22,38953.74581259041
1_13_2013-03-01,42038.316524809605
1_13_2013-03-08,41842.35472577562
1_13_2013-03-15,38552.7760238136
1_13_2013-03-22,38292.2419776188
1_13_2013-03-29,38481.587636039076
1_13_2013-04-05,43851.41135832191
1_13_2013-04-12,39025.37082929282
1_13_2013-04-19,38859.13861551028
1_13_2013-04-26,38893.51148066483
1_13_2013-05-03,43994.86975404345
1_13_2013-05-10,40925.954464067334
1_13_2013-05-17,38572.73312467415
1_13_2013-05-24,38610.76492914214
1_13_2013-05-31,39249.093540973256
1_13_2013-06-07,43434.50591640196
1_13_2013-06-14,38946.756290989644
1_13_2013-06-21,39132.52945677668
1_13_2013-06-28,39194.3583275408
1_13_2013-07-05,43536.47377513283
1_13_2013-07-12,39123.14288604823
1_13_2013-07-19,39104.70100254613
1_13_2013-07-26,38214.10022138035
1_14_2012-11-02,13675.206767699296
1_14_2012-11-09,13489.568730687137
1_14_2012-11-16,17453.56202406374
1_14_2012-11-23,39811.58163499344
1_14_2012-11-30,26725.598726742202
1_14_2012-12-07,21049.32524379787
1_14_2012-12-14,24614.82137312596
1_14_2012-12-21,34428.858936090124
1_14_2012-12-28,35993.12685881725
1_14_2013-01-04,14923.137194557132
1_14_2013-01-11,14478.072964253455
1_14_2013-01-18,13327.59435158378
1_14_2013-01-25,12924.590433455714
1_14_2013-02-01,16487.338243532366
1_14_2013-02-08,18060.097504422414
1_14_2013-02-15,19326.569491549173
1_14_2013-02-22,17411.860129064105
1_14_2013-03-01,18661.365693156014
1_14_2013-03-08,16626.047247545506
1_14_2013-03-15,13302.616583113635
1_14_2013-03-22,13090.394267862004
1_14_2013-03-29,14328.885224092366
1_14_2013-04-05,15520.169365803118
1_14_2013-04-12,14798.8831934165
1_14_2013-04-19,14362.716242969542
1_14_2013-04-26,14386.974241176278
